data_vencimento,K,cod_negociacao,T,S,r,sigma,cotacao_op,moneyness,call_price_bs,call_price_lstm
2023-09-15,67.03,VALEI686-2023-67.03,0.07142857142857142,62.96,0.13149860316976114,0.365584391829879,0.39,OTM,1.1634308140678051,0.66463405
2023-09-15,68.03,VALEI696-2023-68.03,0.07142857142857142,62.96,0.13149860316976114,0.365584391829879,0.26,OTM,0.9140866718968716,0.45980415
2023-09-15,69.03,VALEI706-2023-69.03,0.07142857142857142,62.96,0.13149860316976114,0.365584391829879,0.16,OTM,0.7097606130876581,0.30440155
2023-09-15,70.03,VALEI716-2023-70.03,0.07142857142857142,62.96,0.13149860316976114,0.365584391829879,0.12,OTM,0.5447074314608908,0.20334065
2023-09-15,71.03,VALEI726-2023-71.03,0.07142857142857142,62.96,0.13149860316976114,0.365584391829879,0.08,OTM,0.41324292355192327,0.15887177
2023-09-15,72.03,VALEI736-2023-72.03,0.07142857142857142,62.96,0.13149860316976114,0.365584391829879,0.06,OTM,0.30996629210139126,0.124501765
2023-09-15,73.03,VALEI746-2023-73.03,0.07142857142857142,62.96,0.13149860316976114,0.365584391829879,0.03,OTM,0.22992007628497557,0.09828377
2023-09-15,74.03,VALEI756-2023-74.03,0.07142857142857142,62.96,0.13149860316976114,0.365584391829879,0.03,OTM,0.16868930385203518,0.07962656
2023-09-15,75.03,VALEI766-2023-75.03,0.07142857142857142,62.96,0.13149860316976114,0.365584391829879,0.02,OTM,0.12244694335651518,0.06664252
2023-09-15,76.03,VALEI776-2023-76.03,0.07142857142857142,62.96,0.13149860316976114,0.365584391829879,0.02,OTM,0.08795586944868061,0.058394015
2023-09-15,77.03,VALEI786-2023-77.03,0.07142857142857142,62.96,0.13149860316976114,0.365584391829879,0.01,OTM,0.06253869285830693,0.05211109
2023-09-15,78.03,VALEI796-2023-78.03,0.07142857142857142,62.96,0.13149860316976114,0.365584391829879,0.02,OTM,0.044026408553552,0.0470618
2023-09-15,79.03,VALEI806-2023-79.03,0.07142857142857142,62.96,0.13149860316976114,0.365584391829879,0.02,OTM,0.030695406970268624,0.04304099
2023-09-15,80.03,VALEI816-2023-80.03,0.07142857142857142,62.96,0.13149860316976114,0.365584391829879,0.01,OTM,0.021200464330605406,0.03996986
2023-10-20,58.54,VALEJ601-2023-58.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,6.07,ITM,7.709333629303586,6.9079924
2023-10-20,61.54,VALEJ631-2023-61.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,4.34,ATM,5.836048053389177,4.924838
2023-10-20,62.54,VALEJ641-2023-62.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,3.67,ATM,5.284443577274409,4.3683333
2023-10-20,63.54,VALEJ651-2023-63.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,3.15,ATM,4.769551113762567,3.7978141
2023-10-20,64.54,VALEJ661-2023-64.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,2.6,ATM,4.291047630037099,3.3631096
2023-10-20,65.54,VALEJ671-2023-65.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,2.19,ATM,3.848304236115471,2.9508061
2023-10-20,66.54,VALEJ681-2023-66.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,1.78,OTM,3.440415962079175,2.5120246
2023-10-20,67.54,VALEJ691-2023-67.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,1.42,OTM,3.0662359629253864,2.1152215
2023-10-20,68.54,VALEJ701-2023-68.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,1.14,OTM,2.7244125182348995,1.7177713
2023-10-20,69.54,VALEJ711-2023-69.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.9,OTM,2.4134272969251107,1.3807707
2023-10-20,70.54,VALEJ720-2023-70.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.73,OTM,2.1316335189563063,1.108047
2023-10-20,71.54,VALEJ750-2023-71.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.57,OTM,1.8772928465831704,0.8817003
2023-10-20,72.54,VALEJ760-2023-72.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.45,OTM,1.6486100595331887,0.7038012
2023-10-20,73.54,VALEJ770-2023-73.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.34,OTM,1.443764795610237,0.5653342
2023-10-20,74.54,VALEJ780-2023-74.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.28,OTM,1.2609398578191051,0.47068077
2023-10-20,75.54,VALEJ790-2023-75.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.24,OTM,1.0983457914460946,0.39306036
2023-10-20,76.54,VALEJ800-2023-76.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.19,OTM,0.9542416129169329,0.31931427
2023-10-20,77.54,VALEJ810-2023-77.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.15,OTM,0.8269517227700032,0.25369418
2023-10-20,78.54,VALEJ820-2023-78.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.12,OTM,0.714879156191051,0.20965427
2023-10-20,79.54,VALEJ83-2023-79.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.11,OTM,0.616515416637128,0.18012214
2024-10-18,79.29,VALEJ830-2024-79.29,1.6547619047619047,62.96,0.13149860316976114,0.365584391829879,5.4,OTM,11.372968884703827,6.388461
2023-10-20,80.54,VALEJ840-2023-80.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.1,OTM,0.5304472029547505,0.15612489
2023-10-20,81.54,VALEJ850-2023-81.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.08,OTM,0.4553603808855611,0.13399214
